,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p1rlv1359-rdt793lv),rdt793lv.1.2,p1rlv1359.1.2,1p_oh_al_4_periwinkle_2,0.001,2,----,----,----,----,----,----,['1.76096666666667 |0.395966666666667 1.76096666666667'],['0.669833333333333 |0.568633333333333 0.669833333333333'],['36.9250333333333 |-17.5589666666667 36.9250333333333'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,115,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2866-rdm2839),rdm2839.1.2,p1rlv2866.1.2,1p_ug_al_1/0_brenau_2,0.0403605,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2839-rdt1711lv),rdt1711lv.1.2,rdm2839.1.2,1p_ug_al_1/0_brenau_2,0.0198523,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2847-rdm2841),rdm2841.1.2,p1rlv2847.1.2,1p_ug_al_1/0_brenau_2,0.02853,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2846-rdm2840),rdm2840.1.2,p1rlv2846.1.2,1p_ug_al_1/0_brenau_2,0.0346033,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2840-rdm2841),rdm2841.1.2,rdm2840.1.2,1p_ug_al_1/0_brenau_2,0.0386205,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2841-rdt1712lv),rdt1712lv.1.2,rdm2841.1.2,1p_ug_al_1/0_brenau_2,0.00965251,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2848-rdm2842),rdm2842.1.2,p1rlv2848.1.2,1p_ug_al_1/0_brenau_2,0.0346544,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2849-rdm2843),rdm2843.1.2,p1rlv2849.1.2,1p_ug_al_1/0_brenau_2,0.0311943,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2842-rdm2843),rdm2842.1.2,rdm2843.1.2,1p_ug_al_1/0_brenau_2,0.0352822,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2842-rdt1712lv),rdt1712lv.1.2,rdm2842.1.2,1p_ug_al_1/0_brenau_2,0.0157044,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2850-rdt1713lv),rdt1713lv.1.2,p1rlv2850.1.2,1p_ug_al_1/0_brenau_2,0.0376671,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2851-rdt1714lv),rdt1714lv.1.2,p1rlv2851.1.2,1p_ug_al_1/0_brenau_2,0.0423511,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2852-rdt1715lv),rdt1715lv.1.2,p1rlv2852.1.2,1p_ug_al_1/0_brenau_2,0.0430531,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2853-rdt1716lv),rdt1716lv.1.2,p1rlv2853.1.2,1p_ug_al_1/0_brenau_2,0.0398436,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2854-rdt1716lv),rdt1716lv.1.2,p1rlv2854.1.2,1p_ug_al_1/0_brenau_2,0.0359506,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2855-rdt1716lv),rdt1716lv.1.2,p1rlv2855.1.2,1p_ug_al_1/0_brenau_2,0.028014,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2856-rdm2850),rdm2850.1.2,p1rlv2856.1.2,1p_ug_al_1/0_brenau_2,0.0355576,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2860-rdm2851),rdm2851.1.2,p1rlv2860.1.2,1p_ug_al_1/0_brenau_2,0.0569969,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2850-rdm2851),rdm2850.1.2,rdm2851.1.2,1p_ug_al_1/0_brenau_2,0.0247826,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2850-rdt1716lv),rdt1716lv.1.2,rdm2850.1.2,1p_ug_al_2/0_converse_2,0.0082611,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,233,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2857-rdt1717lv),rdt1717lv.1.2,p1rlv2857.1.2,1p_ug_al_1/0_brenau_2,0.0417442,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2877-rdt1718lv),rdt1718lv.1.2,p1rlv2877.1.2,1p_ug_al_1/0_brenau_2,0.0258042,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2858-rdm2853),rdm2853.1.2,p1rlv2858.1.2,1p_ug_al_1/0_brenau_2,0.0365962,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2853-rdt1718lv),rdt1718lv.1.2,rdm2853.1.2,1p_ug_al_1/0_brenau_2,0.015882,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2878-rdm2855),rdm2855.1.2,p1rlv2878.1.2,1p_ug_al_1/0_brenau_2,0.0403035,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2855-rdt1718lv),rdt1718lv.1.2,rdm2855.1.2,1p_ug_al_1/0_brenau_2,0.013348,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2859-rdt1719lv),rdt1719lv.1.2,p1rlv2859.1.2,1p_ug_al_1/0_brenau_2,0.0320546,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2861-rdt1720lv),rdt1720lv.1.2,p1rlv2861.1.2,1p_ug_al_1/0_brenau_2,0.03033,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2867-rdt1721lv),rdt1721lv.1.2,p1rlv2867.1.2,1p_ug_al_1/0_brenau_2,0.0465332,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2862-rdm2858),rdm2858.1.2,p1rlv2862.1.2,1p_ug_al_1/0_brenau_2,0.0284847,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2858-rdt1721lv),rdt1721lv.1.2,rdm2858.1.2,1p_ug_al_1/0_brenau_2,0.00992615,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2863-rdm2859),rdm2859.1.2,p1rlv2863.1.2,1p_ug_al_1/0_brenau_2,0.0275138,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2859-rdt1721lv),rdt1721lv.1.2,rdm2859.1.2,1p_ug_al_1/0_brenau_2,0.019863,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2864-rdt1722lv),rdt1722lv.1.2,p1rlv2864.1.2,1p_ug_al_1/0_brenau_2,0.027751,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2881-rdt1723lv),rdt1723lv.1.2,p1rlv2881.1.2,1p_ug_al_1/0_brenau_2,0.0502598,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2869-rdm2863),rdm2863.1.2,p1rlv2869.1.2,1p_ug_al_1/0_brenau_2,0.0388783,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2865-rdm2862),rdm2862.1.2,p1rlv2865.1.2,1p_ug_al_1/0_brenau_2,0.0281377,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2862-rdm2863),rdm2863.1.2,rdm2862.1.2,1p_ug_al_1/0_brenau_2,0.00991817,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2863-rdt1723lv),rdt1723lv.1.2,rdm2863.1.2,1p_ug_al_2/0_converse_2,0.00990818,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,233,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2882-rdm2865),rdm2865.1.2,p1rlv2882.1.2,1p_ug_al_1/0_brenau_2,0.0175406,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2883-rdm2865),rdm2865.1.2,p1rlv2883.1.2,1p_ug_al_1/0_brenau_2,0.03248,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2865-rdt1723lv),rdt1723lv.1.2,rdm2865.1.2,1p_ug_al_2/0_converse_2,0.0198257,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,233,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2868-rdt1724lv),rdt1724lv.1.2,p1rlv2868.1.2,1p_ug_al_1/0_brenau_2,0.0421972,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2870-rdm2868),rdm2868.1.2,p1rlv2870.1.2,1p_ug_al_1/0_brenau_2,0.0486976,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2868-rdt1725lv),rdt1725lv.1.2,rdm2868.1.2,1p_ug_al_1/0_brenau_2,0.0097459,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2871-rdm2869),rdm2869.1.2,p1rlv2871.1.2,1p_ug_al_1/0_brenau_2,0.06061,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2869-rdt1725lv),rdt1725lv.1.2,rdm2869.1.2,1p_ug_al_1/0_brenau_2,0.0097566,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2874-rdm2871),rdm2871.1.2,p1rlv2874.1.2,1p_ug_al_1/0_brenau_2,0.0254076,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2871-rdt1727lv),rdt1727lv.1.2,rdm2871.1.2,1p_ug_al_1/0_brenau_2,0.0398802,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2875-rdm2872),rdm2872.1.2,p1rlv2875.1.2,1p_ug_al_1/0_brenau_2,0.0245093,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2876-rdm2873),rdm2873.1.2,p1rlv2876.1.2,1p_ug_al_1/0_brenau_2,0.0188278,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2872-rdm2873),rdm2872.1.2,rdm2873.1.2,1p_ug_al_1/0_brenau_2,0.019748,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2872-rdt1727lv),rdt1727lv.1.2,rdm2872.1.2,1p_ug_al_1/0_brenau_2,0.00997351,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2879-rdm2874),rdm2874.1.2,p1rlv2879.1.2,1p_ug_al_1/0_brenau_2,0.0373012,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2874-rdt1728lv),rdt1728lv.1.2,rdm2874.1.2,1p_ug_al_1/0_brenau_2,0.0177938,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2897-rdm2875),rdm2875.1.2,p1rlv2897.1.2,1p_ug_al_1/0_brenau_2,0.0261348,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2875-rdt1728lv),rdt1728lv.1.2,rdm2875.1.2,1p_ug_al_1/0_brenau_2,0.0266959,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2880-rdt1729lv),rdt1729lv.1.2,p1rlv2880.1.2,1p_ug_al_1/0_brenau_2,0.0320064,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2884-rdt1730lv),rdt1730lv.1.2,p1rlv2884.1.2,1p_ug_al_1/0_brenau_2,0.0391207,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2890-rdt1730lv),rdt1730lv.1.2,p1rlv2890.1.2,1p_ug_al_1/0_brenau_2,0.0320813,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2885-rdm2878),rdm2878.1.2,p1rlv2885.1.2,1p_ug_al_1/0_brenau_2,0.0171472,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2878-rdt1730lv),rdt1730lv.1.2,rdm2878.1.2,1p_ug_al_1/0_brenau_2,0.00992085,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2886-rdt1731lv),rdt1731lv.1.2,p1rlv2886.1.2,1p_ug_al_1/0_brenau_2,0.0379054,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2887-rdt1732lv),rdt1732lv.1.2,p1rlv2887.1.2,1p_ug_al_1/0_brenau_2,0.001,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2889-rdt1733lv),rdt1733lv.1.2,p1rlv2889.1.2,1p_ug_al_1/0_brenau_2,0.0325584,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2888-rdm2882),rdm2882.1.2,p1rlv2888.1.2,1p_ug_al_1/0_brenau_2,0.00331789,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:rdm2882-rdt1733lv),rdt1733lv.1.2,rdm2882.1.2,1p_ug_al_1/0_brenau_2,0.00644441,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
Line.l(r:p1rlv2891-rdm2884),rdm2884.1.2,p1rlv2891.1.2,1p_ug_al_1/0_brenau_2,0.0392643,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],No,0.01805,0.155081,100,,km,,[],Deri,[],[],----,----,1,['400'],oh,205,600,0.1,20,3,60,Yes,
