,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p2udt7lv-p2ulv8),p2udt7lv.1.2,p2ulv8.1.2,1P_UG_AL_1/0_Brenau_2,0.0151435,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm15790-p2ulv45155),p2udm15790.1.2,p2ulv45155.1.2,1P_UG_AL_1/0_Brenau_2,0.00996741,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm15790-p2ulv46212),p2udm15790.1.2,p2ulv46212.1.2,1P_UG_AL_1/0_Brenau_2,0.0149924,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm15790-p2udt4616lv),p2udt4616lv.1.2,p2udm15790.1.2,1P_UG_AL_1/0_Brenau_2,0.019626,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5152lv-p2ulv13624),p2udt5152lv.1.2,p2ulv13624.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0096534,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5495lv-p2ulv15341),p2udt5495lv.1.2,p2ulv15341.1.2,1P_UG_AL_1/0_Brenau_2,0.0105177,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5495lv-p2ulv20101),p2udt5495lv.1.2,p2ulv20101.1.2,1P_UG_AL_1/0_Brenau_2,0.00942351,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19072-p2ulv15342),p2udm19072.1.2,p2ulv15342.1.2,1P_UG_AL_1/0_Brenau_2,0.0109174,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19072-p2ulv20102),p2udm19072.1.2,p2ulv20102.1.2,1P_UG_AL_1/0_Brenau_2,0.0097053,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19072-p2udt5495lv),p2udt5495lv.1.2,p2udm19072.1.2,1P_UG_AL_2/0_Converse_2,0.00953021,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm19073-p2ulv20099),p2udm19073.1.2,p2ulv20099.1.2,1P_UG_AL_1/0_Brenau_2,0.00927272,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19070-p2ulv15340),p2udm19070.1.2,p2ulv15340.1.2,1P_UG_AL_1/0_Brenau_2,0.0100179,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19070-p2udm19073),p2udm19073.1.2,p2udm19070.1.2,1P_UG_AL_1/0_Brenau_2,0.0190489,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19073-p2udt5495lv),p2udt5495lv.1.2,p2udm19073.1.2,1P_UG_AL_1/0_Brenau_2,0.0095187,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5524lv-p2ulv15559),p2udt5524lv.1.2,p2ulv15559.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00910519,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19188-p2ulv20103),p2udm19188.1.2,p2ulv20103.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0101263,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19188-p2udt5524lv),p2udt5524lv.1.2,p2udm19188.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0194139,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5525lv-p2ulv15560),p2udt5525lv.1.2,p2ulv15560.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0114051,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5526lv-p2ulv17459),p2udt5526lv.1.2,p2ulv17459.1.2,1P_UG_AL_1/0_Brenau_2,0.0157403,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19191-p2ulv17458),p2udm19191.1.2,p2ulv17458.1.2,1P_UG_AL_1/0_Brenau_2,0.0162314,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19195-p2ulv45314),p2udm19195.1.2,p2ulv45314.1.2,1P_UG_AL_1/0_Brenau_2,0.0161985,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19191-p2udm19195),p2udm19191.1.2,p2udm19195.1.2,1P_UG_AL_1/0_Brenau_2,0.00937568,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19191-p2udt5526lv),p2udt5526lv.1.2,p2udm19191.1.2,1P_UG_AL_1/0_Brenau_2,0.0187448,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19194-p2ulv45282),p2udm19194.1.2,p2ulv45282.1.2,1P_UG_AL_1/0_Brenau_2,0.00998896,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19190-p2ulv15562),p2udm19190.1.2,p2ulv15562.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0115988,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19193-p2ulv45277),p2udm19193.1.2,p2ulv45277.1.2,1P_UG_AL_1/0_Brenau_2,0.0101804,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19190-p2udm19193),p2udm19190.1.2,p2udm19193.1.2,1P_UG_AL_1/0_Brenau_2,0.0118306,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19190-p2udm19194),p2udm19194.1.2,p2udm19190.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0117437,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19194-p2udt5526lv),p2udt5526lv.1.2,p2udm19194.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00936745,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5527lv-p2ulv15568),p2udt5527lv.1.2,p2ulv15568.1.2,1P_UG_AL_1/0_Brenau_2,0.0111104,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19197-p2ulv15567),p2udm19197.1.2,p2ulv15567.1.2,1P_UG_AL_1/0_Brenau_2,0.010827,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19197-p2ulv15577),p2udm19197.1.2,p2ulv15577.1.2,1P_UG_AL_2/0_Converse_2,0.00990928,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm19197-p2udt5527lv),p2udt5527lv.1.2,p2udm19197.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00936745,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19199-p2ulv15569),p2udm19199.1.2,p2ulv15569.1.2,1P_UG_AL_1/0_Brenau_2,0.0102718,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19196-p2ulv15564),p2udm19196.1.2,p2ulv15564.1.2,1P_UG_AL_1/0_Brenau_2,0.0107296,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19196-p2udm19199),p2udm19199.1.2,p2udm19196.1.2,1P_UG_AL_1/0_Brenau_2,0.00936745,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19199-p2udt5527lv),p2udt5527lv.1.2,p2udm19199.1.2,1P_UG_AL_2/0_Converse_2,0.00937897,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt5528lv-p2ulv15566),p2udt5528lv.1.2,p2ulv15566.1.2,1P_UG_AL_1/0_Brenau_2,0.0107221,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5528lv-p2ulv15575),p2udt5528lv.1.2,p2ulv15575.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00969394,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5529lv-p2ulv20111),p2udt5529lv.1.2,p2ulv20111.1.2,1P_UG_AL_1/0_Brenau_2,0.0122042,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19205-p2ulv20110),p2udm19205.1.2,p2ulv20110.1.2,1P_UG_AL_1/0_Brenau_2,0.0120473,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19203-p2ulv15570),p2udm19203.1.2,p2ulv15570.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.010096,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19203-p2ulv20109),p2udm19203.1.2,p2ulv20109.1.2,1P_UG_AL_1/0_Brenau_2,0.0145296,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19203-p2udm19205),p2udm19205.1.2,p2udm19203.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00989518,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19205-p2udt5529lv),p2udt5529lv.1.2,p2udm19205.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00988367,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm19207-p2ulv20114),p2udm19207.1.2,p2ulv20114.1.2,1P_UG_AL_1/0_Brenau_2,0.0116393,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm19207-p2udt5529lv),p2udt5529lv.1.2,p2udm19207.1.2,1P_UG_AL_1/0_Brenau_2,0.0197887,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5530lv-p2ulv15572),p2udt5530lv.1.2,p2ulv15572.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00983136,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5530lv-p2ulv20112),p2udt5530lv.1.2,p2ulv20112.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0104166,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5533lv-p2ulv15578),p2udt5533lv.1.2,p2ulv15578.1.2,1P_OH_AL_2/0_Rucina_2,0.0125937,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5792lv-p2ulv16871),p2udt5792lv.1.2,p2ulv16871.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.0101322,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udt5792lv-p2ulv27222),p2udt5792lv.1.2,p2ulv27222.1.2,1P_UG_AL_1/0_Brenau_2,0.0115192,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20174-p2ulv27214),p2udm20174.1.2,p2ulv27214.1.2,1P_UG_AL_2/0_Converse_2,0.013277,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm20174-p2udt5792lv),p2udt5792lv.1.2,p2udm20174.1.2,1P_UG_AL_2/0_Converse_2,0.009933,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udt5793lv-p2ulv27215),p2udt5793lv.1.2,p2ulv27215.1.2,1P_UG_AL_2/0_Converse_2,0.00947647,2,----,----,----,----,----,----,['0.7793333 |0.3503333 0.7793333'],['0.4209333 |0.3231333 0.4209333'],['37.42527 |-17.11183 37.42527'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,233,600,0.1,20,3,60,True,
Line.l(r:p2udm20176-p2ulv16872),p2udm20176.1.2,p2ulv16872.1.2,1P_UG_AL_1/0_Brenau_2,0.0101173,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20176-p2ulv27216),p2udm20176.1.2,p2ulv27216.1.2,1P_UG_AL_1/0_Brenau_2,0.0107698,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20176-p2ulv27217),p2udm20176.1.2,p2ulv27217.1.2,1P_UG_AL_1/0_Brenau_2,0.0147891,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20181-p2ulv27218),p2udm20181.1.2,p2ulv27218.1.2,1P_UG_AL_1/0_Brenau_2,0.0151053,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20176-p2udm20181),p2udm20176.1.2,p2udm20181.1.2,1P_UG_AL_1/0_Brenau_2,0.00992477,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20176-p2udt5793lv),p2udt5793lv.1.2,p2udm20176.1.2,1P_UG_AL_4/0_Sweetbriar_2,0.00993463,2,----,----,----,----,----,----,['0.5462333 |0.2755333 0.5462333'],['0.2976 |0.2043 0.2976'],['39.3278 |-18.6046 39.3278'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,301,600,0.1,20,3,60,True,
Line.l(r:p2udm20177-p2ulv19040),p2udm20177.1.2,p2ulv19040.1.2,1P_UG_AL_1/0_Brenau_2,0.013311,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udm20177-p2udt5793lv),p2udt5793lv.1.2,p2udm20177.1.2,1P_UG_AL_1/0_Brenau_2,0.0198676,2,----,----,----,----,----,----,['0.9149 |0.3744 0.9149'],['0.4972667 |0.3969667 0.4972667'],['36.4998 |-16.3131 36.4998'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,205,600,0.1,20,3,60,True,
Line.l(r:p2udt5801lv-p2ulv16882),p2udt5801lv.1.2,p2ulv16882.1.2,1P_OH_AL_2/0_Rucina_2,0.00847434,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5801lv-p2ulv18695),p2udt5801lv.1.2,p2ulv18695.1.2,1P_OH_AL_2/0_Rucina_2,0.0119958,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5801lv-p2ulv28709),p2udt5801lv.1.2,p2ulv28709.1.2,1P_OH_AL_2/0_Rucina_2,0.00917157,2,----,----,----,----,----,----,['0.7166333 |0.2875333 0.7166333'],['0.2888333 |0.1932333 0.2888333'],['39.3595 |-19.3421 39.3595'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5801lv-p2ulv46153),p2udt5801lv.1.2,p2ulv46153.1.2,1P_OH_AL_4/0_Zuzara_2,0.0370672,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5802lv-p2ulv18698),p2udt5802lv.1.2,p2ulv18698.1.2,1P_OH_AL_4/0_Zuzara_2,0.0369146,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
Line.l(r:p2udt5802lv-p2ulv18699),p2udt5802lv.1.2,p2ulv18699.1.2,1P_OH_AL_4/0_Zuzara_2,0.0319514,2,----,----,----,----,----,----,['0.4728 |0.2021 0.4728'],['0.2135333 |0.1247333 0.2135333'],['41.3578 |-20.4474 41.3578'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,115,600,0.1,20,3,60,True,
