,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,spectrum,basefreq,enabled,like
PVSystem.pv_load_p2ulv45279,1,p2ulv45279.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45228,1,p2ulv45228.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv17108,1,p2ulv17108.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv27204,1,p2ulv27204.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv22975,1,p2ulv22974.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45102,1,p2ulv45102.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv41986,1,p2ulv41986.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20205,1,p2ulv20204.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20213,1,p2ulv20213.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44757,1,p2ulv44757.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv27215,1,p2ulv27215.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv3538,1,p2ulv3538.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19027,1,p2ulv19027.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44777,1,p2ulv44776.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18669,1,p2ulv18669.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44846,1,p2ulv44846.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20128,1,p2ulv20128.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18661,1,p2ulv18661.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20163,1,p2ulv20163.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18659,1,p2ulv18658.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19036,1,p2ulv19036.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18697,1,p2ulv18697.1.2,0.24,1,100,100,25,1,wye,0,90.9091,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,90.9091,90.9091,,60,True,
PVSystem.pv_load_p2ulv19158,1,p2ulv19158.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45214,1,p2ulv45213.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44085,1,p2ulv44085.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv19024,3,p2ulv19024.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv45312,1,p2ulv45312.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45260,1,p2ulv45260.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44825,1,p2ulv44825.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv7966,3,p2ulv7966.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv45314,1,p2ulv45314.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv15573,3,p2ulv15573.1.2.3,0.48,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv17207,1,p2ulv17207.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv17211,1,p2ulv17210.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv28708,1,p2ulv28708.1.2,0.24,1,3,100,25,1,wye,0,2.72727,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,2.72727,2.72727,,60,True,
PVSystem.pv_load_p2ulv44012,1,p2ulv44012.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18552,1,p2ulv18552.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45181,1,p2ulv45181.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45195,1,p2ulv45195.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv42011,1,p2ulv42011.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20180,1,p2ulv20180.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20082,1,p2ulv20082.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18717,1,p2ulv18717.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv37096,1,p2ulv37096.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv18668,1,p2ulv27205.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv9364,1,p2ulv9364.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20114,1,p2ulv20114.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv18672,1,p2ulv18672.1.2,0.24,1,8,100,25,1,wye,0,7.27273,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.27273,7.27273,,60,True,
PVSystem.pv_load_p2ulv17035,1,p2ulv17035.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv20156,1,p2ulv20156.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv45328,1,p2ulv45328.1.2,0.24,1,5,100,25,1,wye,0,4.54545,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.54545,4.54545,,60,True,
PVSystem.pv_load_p2ulv44817,1,p2ulv44817.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17059,1,p2ulv17059.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p2ulv19022,1,p2ulv19021.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45212,1,p2ulv45212.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv20189,1,p2ulv20189.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17081,1,p2ulv17081.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17101,1,p2ulv17101.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17040,1,p2ulv17040.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p2ulv45233,1,p2ulv45233.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17209,1,p2ulv17209.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv15561,1,p2ulv15561.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv18738,1,p2ulv18738.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv20066,1,p2ulv20066.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv18652,1,p2ulv18652.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17134,1,p2ulv17134.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_45_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv20095,1,p2ulv20095.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv40389,1,p2ulv40389.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45285,1,p2ulv45285.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17049,1,p2ulv17048.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45084,1,p2ulv45084.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv19016,1,p2ulv19015.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45191,1,p2ulv45191.1.2,0.24,1,8,100,25,-0.95,wye,0,7.6555,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.6555,7.6555,,60,True,
PVSystem.pv_load_p2ulv20109,1,p2ulv20109.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv44785,1,p2ulv44785.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv15558,1,p2ulv15558.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv44855,1,p2ulv44855.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45218,1,p2ulv45218.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv17107,1,p2ulv17107.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p2ulv44780,1,p2ulv44780.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv34468,3,p2ulv34468.1.2.3,0.48,1,8,100,25,-0.95,wye,0,7.6555,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_225,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.6555,7.6555,,60,True,
PVSystem.pv_load_p2ulv20145,1,p2ulv20145.1.2,0.24,1,8,100,25,-0.95,wye,0,7.6555,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.6555,7.6555,,60,True,
PVSystem.pv_load_p2ulv19050,3,p2ulv19050.1.2.3,0.48,1,8,100,25,-0.95,wye,0,7.6555,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.6555,7.6555,,60,True,
PVSystem.pv_load_p2ulv20067,1,p2ulv20067.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_90,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv44751,1,p2ulv44751.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv20074,1,p2ulv20074.1.2,0.24,1,8,100,25,-0.95,wye,0,7.6555,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,7.6555,7.6555,,60,True,
PVSystem.pv_load_p2ulv19033,1,p2ulv19033.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_270,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45224,1,p2ulv45224.1.2,0.24,1,100,100,25,-0.95,wye,0,95.6938,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,95.6938,95.6938,,60,True,
PVSystem.pv_load_p2ulv27278,1,p2ulv27278.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_25_135,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv20121,1,p2ulv20121.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_35_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
PVSystem.pv_load_p2ulv45242,1,p2ulv45242.1.2,0.24,1,5,100,25,-0.95,wye,0,4.78469,0.1,0.1,,,50,0,1,0.9,1.1,No,No,SFO_37.7984_-122.5116_15_180,,,,,,1,,(),NO,No,0,NO,NO,-1,-1,4.78469,4.78469,,60,True,
