,bus1,bus2,linecode,length,phases,r1,x1,r0,x0,C1,C0,rmatrix,xmatrix,cmatrix,Switch,Rg,Xg,rho,geometry,units,spacing,wires,EarthModel,cncables,tscables,B1,B0,Seasons,Ratings,LineType,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Line.l(r:p2udt1664-p2udt3226),p2udt3226.1.2.3,p2udt1664.1.2.3,3P_OH_AL_ACSR_336kcmil_Merlin_3,0.0566894,3,----,----,----,----,----,----,['0.2377333 |0.06463333 0.2377333 |0.06463333 0.06463333 0.2377333'],['0.6083333 |0.2055333 0.6083333 |0.2055333 0.2055333 0.6083333'],['7.7076 |-3.3441 7.7076 |-3.3441 -3.3441 7.7076'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:p2udt11794-p2udt1765),p2udt11794-p2udt1765x.2,p2udt1765.2,1P_OH_AL_ACSR_#2_Sparrow_1,0.0560617,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt210-p2udt3226),p2udt210-p2udt3226x.1.2.3,p2udt3226.1.2.3,3P_OH_AL_ACSR_336kcmil_Merlin_3,0.167967,3,----,----,----,----,----,----,['0.2377333 |0.06463333 0.2377333 |0.06463333 0.06463333 0.2377333'],['0.6083333 |0.2055333 0.6083333 |0.2055333 0.2055333 0.6083333'],['7.7076 |-3.3441 7.7076 |-3.3441 -3.3441 7.7076'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,475,600,0.1,20,3,60,True,
Line.l(r:p2udt12333-p2udt210),p2udt12333-p2udt210x.1,p2udt12333.1,1P_OH_AL_ACSR_#2_Sparrow_1,0.0678228,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt210-p2udt216),p2udt216.1.2.3,p2udt210.1.2.3,3P_OH_AL_ACSR_477kcmil_Hawk_3,0.0647052,3,----,----,----,----,----,----,['0.1731667 |0.05066667 0.1731667 |0.05066667 0.05066667 0.1731667'],['0.5780333 |0.1957333 0.5780333 |0.1957333 0.1957333 0.5780333'],['8.040433 |-3.535467 8.040433 |-3.535467 -3.535467 8.040433'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:p2udt212-p2udt213),p2udt212-p2udt213xx.3,p2udt212-p2udt213xxx.3,1P_UG_AL_1,0.0158149,1,----,----,----,----,----,----,['0.9177'],['0.9547'],['158.492'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,151,600,0.1,20,3,60,True,
Line.l(r:p2udt216-p2udt602),p2udt216-p2udt602x.1.2.3,p2udt216.1.2.3,3P_OH_AL_ACSR_477kcmil_Hawk_3,0.0344291,3,----,----,----,----,----,----,['0.1731667 |0.05066667 0.1731667 |0.05066667 0.05066667 0.1731667'],['0.5780333 |0.1957333 0.5780333 |0.1957333 0.1957333 0.5780333'],['8.040433 |-3.535467 8.040433 |-3.535467 -3.535467 8.040433'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:p2udt5788-p2udt602),p2udt5788.1.2.3,p2udt602.1.2.3,3P_OH_AL_ACSR_477kcmil_Hawk_3,0.143923,3,----,----,----,----,----,----,['0.1731667 |0.05066667 0.1731667 |0.05066667 0.05066667 0.1731667'],['0.5780333 |0.1957333 0.5780333 |0.1957333 0.1957333 0.5780333'],['8.040433 |-3.535467 8.040433 |-3.535467 -3.535467 8.040433'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:p2udt5788-p2udt5789),p2udt5788-p2udt5789x.1.2.3,p2udt5788.1.2.3,3P_OH_AL_ACSR_477kcmil_Hawk_3,0.049815,3,----,----,----,----,----,----,['0.1731667 |0.05066667 0.1731667 |0.05066667 0.05066667 0.1731667'],['0.5780333 |0.1957333 0.5780333 |0.1957333 0.1957333 0.5780333'],['8.040433 |-3.535467 8.040433 |-3.535467 -3.535467 8.040433'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:p2udt5789-p2umv164),p2udt5789-p2umv164x.1.2.3,p2udt5789.1.2.3,3P_OH_AL_ACSR_477kcmil_Hawk_3,0.172385,3,----,----,----,----,----,----,['0.1731667 |0.05066667 0.1731667 |0.05066667 0.05066667 0.1731667'],['0.5780333 |0.1957333 0.5780333 |0.1957333 0.1957333 0.5780333'],['8.040433 |-3.535467 8.040433 |-3.535467 -3.535467 8.040433'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,595,600,0.1,20,3,60,True,
Line.l(r:p2udt3761-p2umv164),p2udt3761.1.2.3,p2umv164.1.2.3,3P_OH_AL_ACSR_1033kcmil_Curlew_3,0.0108755,3,----,----,----,----,----,----,['0.0871 |0.0296 0.0871 |0.0296 0.0296 0.0871'],['0.5382333 |0.1839333 0.5382333 |0.1839333 0.1839333 0.5382333'],['8.6745 |-3.8842 8.6745 |-3.8842 -3.8842 8.6745'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,960,600,0.1,20,3,60,True,
Line.l(r:p2udt257-p2udt258),p2udt257-p2udt258x.3,p2udt257.3,1P_OH_AL_ACSR_#2_Sparrow_1,0.0190856,1,----,----,----,----,----,----,['1.0412'],['0.7627'],['7.69673'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,165,600,0.1,20,3,60,True,
Line.l(r:p2udt3761-p2uhs2_1247),p2udt3761-p2uhs2_1247x.1.2.3,p2udt3761.1.2.3,3P_OH_AL_ACSR_1033kcmil_Curlew_3,0.129025,3,----,----,----,----,----,----,['0.0871 |0.0296 0.0871 |0.0296 0.0296 0.0871'],['0.5382333 |0.1839333 0.5382333 |0.1839333 0.1839333 0.5382333'],['8.6745 |-3.8842 8.6745 |-3.8842 -3.8842 8.6745'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,960,600,0.1,20,3,60,True,
Line.l(r:p2udt11906-p2udt158),p2udt11906.1.2.3,p2udt158.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.0842492,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11906-p2udt202),p2udt11906-p2udt202x.1.2.3,p2udt11906.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.105652,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt12114-p2udt202),p2udt12114.1.2.3,p2udt202.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.127527,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt12007-p2udt12114),p2udt12007.1.2.3,p2udt12114.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.189924,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt12007-p2udt596),p2udt12007-p2udt596x.1.2.3,p2udt12007.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.0800662,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt210-p2udt596),p2udt210-p2udt596x.1.2.3,p2udt596.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.113764,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11871-p2udt599),p2udt11871-p2udt599x.1.2.3,p2udt11871.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.428499,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt2270-p2udt599),p2udt2270.1.2.3,p2udt599.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.266251,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11798-p2udt2270),p2udt11798-p2udt2270x.1.2.3,p2udt2270.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.163935,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11881-p2umv99),p2udt11881-p2umv99x.1.2.3,p2umv99.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.159357,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11881-p2udt3760),p2udt3760.1.2.3,p2udt11881.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.0772198,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11798-p2udt3760),p2udt11798.1.2.3,p2udt3760.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.163755,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt11798-p2udt206),p2udt11798-p2udt206x.1.2.3,p2udt11798.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.0772326,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt205-p2udt206),p2udt205-p2udt206x.1.2.3,p2udt206.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.0367768,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt205-p2udt2242),p2udt205-p2udt2242x.1.2.3,p2udt205.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.161922,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt1142-p2udt2242),p2udt1142-p2udt2242xx.1.2.3,p2udt1142-p2udt2242x.1.2.3,3P_UG_AL_3,0.0502477,3,----,----,----,----,----,----,['0.3289333 |0.05923333 0.3289333 |0.05923333 0.05923333 0.3289333'],['0.9076 |0.6647 0.9076 |0.6647 0.6647 0.9076'],['120.289 |-59.026 120.289 |-59.026 -59.026 120.289'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,295,600,0.1,20,3,60,True,
Line.l(r:p2udt3761lv-p2ulv8271),p2udt3761lv.1.2.3,p2ulv8271.1.2.3,3P_UG_AL_350kcmil_3_8,0.0109733,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udt5789lv-p2ulv16867),p2udt5789lv.1.2.3,p2ulv16867.1.2.3,3P_UG_AL_350kcmil_3_8,0.00367165,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udt5788lv-p2ulv16866),p2udt5788lv.1.2.3,p2ulv16866.1.2.3,3P_UG_AL_350kcmil_3_8,0.0114666,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udt602lv-p2ulv1274),p2udt602lv.1.2.3,p2ulv1274.1.2.3,3P_UG_AL_350kcmil_3_8,0.0116243,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udt214lv-p2ulv305),p2udt214lv.1.2.3,p2ulv305.1.2.3,3P_UG_AL_750kcmil_3_3,0.00472086,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udt214-p2udt602),p2udt602.1.2.3,p2udt214.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.155981,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udm905-p2ulv300),p2udm905.1.2.3,p2ulv300.1.2.3,3P_UG_AL_350kcmil_3_8,0.00561381,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm904-p2ulv299),p2udm904.1.2.3,p2ulv299.1.2.3,3P_UG_AL_350kcmil_3_8,0.00742024,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm904-p2udm905),p2udm905.1.2.3,p2udm904.1.2.3,3P_UG_AL_350kcmil_3_8,0.0430958,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm905-p2udt210lv),p2udt210lv.1.2.3,p2udm905.1.2.3,3P_UG_AL_750kcmil_3_3,0.0326141,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm907-p2ulv43892),p2udm907.1.2.3,p2ulv43892.1.2.3,3P_UG_AL_750kcmil_3_3,0.0100288,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm906-p2ulv301),p2udm906.1.2.3,p2ulv301.1.2.3,3P_UG_AL_350kcmil_3_8,0.00700254,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm906-p2udm907),p2udm907.1.2.3,p2udm906.1.2.3,3P_UG_AL_350kcmil_3_8,0.0447764,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm907-p2udt210lv),p2udt210lv.1.2.3,p2udm907.1.2.3,3P_UG_AL_750kcmil_3_3,0.0180182,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udt596-p2umv175),p2udt596.1.2.3,p2umv175.1.2.3,3P_OH_AL_ACSR_4/0_Penguin_3,0.119116,3,----,----,----,----,----,----,['0.3635667 |0.09006667 0.3635667 |0.09006667 0.09006667 0.3635667'],['0.6385333 |0.2202333 0.6385333 |0.2202333 0.2202333 0.6385333'],['7.448267 |-3.184633 7.448267 |-3.184633 -3.184633 7.448267'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,325,600,0.1,20,3,60,True,
Line.l(r:p2udt12007lv-p2ulv44578),p2udt12007lv.1.2.3,p2ulv44578.1.2.3,3P_UG_AL_350kcmil_3_8,0.00661048,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm890-p2ulv290),p2udm890.1.2.3,p2ulv290.1.2.3,3P_UG_AL_750kcmil_3_3,0.00703034,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm890-p2udt202lv),p2udt202lv.1.2.3,p2udm890.1.2.3,3P_UG_AL_750kcmil_3_3,0.0406745,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm891-p2ulv291),p2udm891.1.2.3,p2ulv291.1.2.3,3P_UG_AL_350kcmil_3_8,0.0116421,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm891-p2udt202lv),p2udt202lv.1.2.3,p2udm891.1.2.3,3P_UG_AL_350kcmil_3_8,0.0452053,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udt158lv-p2ulv1473),p2udt158lv.1.2.3,p2ulv1473.1.2.3,3P_UG_AL_750kcmil_3_3,0.00569344,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm780-p2ulv189),p2udm780.1.2.3,p2ulv189.1.2.3,3P_UG_AL_750kcmil_3_3,0.0080124,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm780-p2udt158lv),p2udt158lv.1.2.3,p2udm780.1.2.3,3P_UG_AL_750kcmil_3_3,0.0282611,3,----,----,----,----,----,----,['0.2296133 |0.1512433 0.2296133 |0.1512433 0.1512433 0.2296133'],['0.54 |0.2955 0.54 |0.2955 0.2955 0.54'],['169.559 |-84.214 169.559 |-84.214 -84.214 169.559'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,550,600,0.1,20,3,60,True,
Line.l(r:p2udm781-p2ulv288),p2udm781.1.2.3,p2ulv288.1.2.3,3P_UG_AL_350kcmil_3_8,0.00824416,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm781-p2ulv289),p2udm781.1.2.3,p2ulv289.1.2.3,3P_UG_AL_350kcmil_3_8,0.00699408,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
Line.l(r:p2udm781-p2udt158lv),p2udt158lv.1.2.3,p2udm781.1.2.3,3P_UG_AL_350kcmil_3_8,0.032906,3,----,----,----,----,----,----,['0.3388667 |0.1744667 0.3388667 |0.1744667 0.1744667 0.3388667'],['0.5126 |0.2912 0.5126 |0.2912 0.2912 0.5126'],['164.365 |-81.635 164.365 |-81.635 -81.635 164.365'],False,0.01805,0.155081,100,,km,,,Deri,,,----,----,1,['400'],oh,370,600,0.1,20,3,60,True,
